ID,Test Name,Year,Session,Subject,Number,Question,law,Option 1,Option 2,Option 3,Option 4,Answer,문제번호,모델명,총문제수,정답수,추출실패,정확도(%),총소요시간(초),문제당평균시간(초),입력토큰,출력토큰,총토큰,비용수준,비용($),예측답,정답여부,모델응답,프롬프트,Question_image
11,소방설비기사(기계분야),2004,2,소방유체역학,27,직경 20 cm 의 소화용 호스에 물이 392 N/s 로 흐른다. 이때의 평균유속은 몇 m/s 인가?,,2.96,4.34,3.68,1.27,4,11,Claude Sonnet 4,300,2,3,18.18,21.04,1.93,130,10,140,중간,0.00054,N/A,False,"주어진 정보:
-","문제: 직경 20 cm 의 소화용 호스에 물이 392 N/s 로 흐른다. 이때의 평균유속은 몇 m/s 인가?

선택지:
1. 2.96
2. 4.34
3. 3.68
4. 1.27

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
12,소방설비기사(기계분야),2011,4,소방기계시설의 구조 및 원리,76,개방형 헤드를 사용하는 연결살수설비에서 하나의 송수구역에 설치하는 살수헤드의 수는 몇 개인가?,,10개 이하,15개 이하,20개 이하,30개 이하,1,12,Claude Sonnet 4,300,2,3,16.67,23.0,1.95,139,5,144,중간,0.000492,2,False,2,"문제: 개방형 헤드를 사용하는 연결살수설비에서 하나의 송수구역에 설치하는 살수헤드의 수는 몇 개인가?

선택지:
1. 10개 이하
2. 15개 이하
3. 20개 이하
4. 30개 이하

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
13,소방설비기사(기계분야),2009,1,소방기계시설의 구조 및 원리,64,통신기기실에 비치하는 소화기로 가장 적합한 것은?,,포 소화기,이산화탄소 소화기,강화액 소화기,산·알칼리 소화기,2,13,Claude Sonnet 4,300,3,3,23.08,24.71,1.71,123,5,128,중간,0.000444,2,True,2,"문제: 통신기기실에 비치하는 소화기로 가장 적합한 것은?

선택지:
1. 포 소화기
2. 이산화탄소 소화기
3. 강화액 소화기
4. 산·알칼리 소화기

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
14,소방설비기사(기계분야),2003,1,소방원론,2,표준화재시간 온도곡선의 제정 목적은?,,건물화재의 연소속도를 측정하기 위하여 표준화 한 것이다.,후레시오버 시간을 측정하기 위하여 표준화 한 것이다.,건물의 화재 계속시간 측정용으로 표준화 한 것이다.,건물 방화재료의 가열시험용으로 표준화 한 것이다.,4,14,Claude Sonnet 4,300,4,3,28.57,26.66,1.94,200,5,205,중간,0.000675,4,True,4,"문제: 표준화재시간 온도곡선의 제정 목적은?

선택지:
1. 건물화재의 연소속도를 측정하기 위하여 표준화 한 것이다.
2. 후레시오버 시간을 측정하기 위하여 표준화 한 것이다.
3. 건물의 화재 계속시간 측정용으로 표준화 한 것이다.
4. 건물 방화재료의 가열시험용으로 표준화 한 것이다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
15,소방설비기사(기계분야),2003,1,소방기계시설의 구조 및 원리,62,상수도 소화용수설비의 소화전을 접속하는 최소 수도배관의 호칭지름은 몇 밀리미터 이상인가?,,65,75,80,100,2,15,Claude Sonnet 4,300,5,3,33.33,30.67,4.01,120,5,125,중간,0.000435,2,True,2,"문제: 상수도 소화용수설비의 소화전을 접속하는 최소 수도배관의 호칭지름은 몇 밀리미터 이상인가?

선택지:
1. 65
2. 75
3. 80
4. 100

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
16,소방설비기사(기계분야),2022,1,소방유체역학,33,펌프와 관련된 용어의 설명으로 옳은 것은?,,캐비테이션 : 송출압력과 송출유량이 주기적으로 변하는 현상,서징 : 액체가 포화 증기압 이하에서 비등하여 기포가 발생하는 현상,수격작용 : 관을 흐르던 물이 갑자기 정지할 때 압력파에 의해 이상음(異常音)이 발생하는 현상,NPSH : 펌프에서 상사법칙을 나타내기 위한 비속도,3,16,Claude Sonnet 4,300,6,3,37.5,32.54,1.87,241,5,246,중간,0.000798,3,True,3,"문제: 펌프와 관련된 용어의 설명으로 옳은 것은?

선택지:
1. 캐비테이션 : 송출압력과 송출유량이 주기적으로 변하는 현상
2. 서징 : 액체가 포화 증기압 이하에서 비등하여 기포가 발생하는 현상
3. 수격작용 : 관을 흐르던 물이 갑자기 정지할 때 압력파에 의해 이상음(異常音)이 발생하는 현상
4. NPSH : 펌프에서 상사법칙을 나타내기 위한 비속도

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
17,소방설비기사(기계분야),2019,1,소방원론,7,위험물안전관리법령상 위험물의 지정수량이 틀린 것은?,,과산화나트륨 - 50kg,적린 - 100kg,트리니트로톨루엔 - 200kg,탄화알루미늄 - 400kg,4,17,Claude Sonnet 4,300,6,3,35.29,34.32,1.79,140,5,145,중간,0.000495,2,False,2,"문제: 위험물안전관리법령상 위험물의 지정수량이 틀린 것은?

선택지:
1. 과산화나트륨 - 50kg
2. 적린 - 100kg
3. 트리니트로톨루엔 - 200kg
4. 탄화알루미늄 - 400kg

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
18,소방설비기사(기계분야),2019,2,소방원론,14,화재 표면온도(절대온도)가 2배가 되면 복사에너지는 몇 배로 증가 되는가?,,2,4,8,16,4,18,Claude Sonnet 4,300,6,4,33.33,36.33,2.01,110,10,120,중간,0.00048,N/A,False,이 문제는 스테판,"문제: 화재 표면온도(절대온도)가 2배가 되면 복사에너지는 몇 배로 증가 되는가?

선택지:
1. 2
2. 4
3. 8
4. 16

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
19,소방설비기사(기계분야),2018,4,소방관계법규,50,소방시설공사업법령에 따른 성능위주설계를 할 수 있는 자의 설계범위 기준 중 틀린 것은?,O,연면적 30000m$^2$ 이상인 특정소방대상물로서 공항시설,"연면적 100000m$^2$ 이상인 특정소방대상물(단, 아파트등은 제외)","지하층을 포함한 층수가 30층 이상인 특정소방대상물(단, 아파트 등은 제외)",하나의 건축물에 영화상영관이 10개 이상인 특정소방대상물,2,19,Claude Sonnet 4,300,6,4,31.58,38.01,1.68,250,5,255,중간,0.000825,3,False,3,"문제: 소방시설공사업법령에 따른 성능위주설계를 할 수 있는 자의 설계범위 기준 중 틀린 것은?

선택지:
1. 연면적 30000m$^2$ 이상인 특정소방대상물로서 공항시설
2. 연면적 100000m$^2$ 이상인 특정소방대상물(단, 아파트등은 제외)
3. 지하층을 포함한 층수가 30층 이상인 특정소방대상물(단, 아파트 등은 제외)
4. 하나의 건축물에 영화상영관이 10개 이상인 특정소방대상물

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
20,소방설비기사(기계분야),2007,1,소방원론,19,다음 중 소화약제로서 물을 사용하는 주된 이유는?,,질식작용,증발잠열,연소작용,제거작용,2,20,Claude Sonnet 4,300,7,4,35.0,40.08,2.07,108,5,113,중간,0.000399,2,True,2,"문제: 다음 중 소화약제로서 물을 사용하는 주된 이유는?

선택지:
1. 질식작용
2. 증발잠열
3. 연소작용
4. 제거작용

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
21,소방설비기사(기계분야),2013,2,소방유체역학,33,"물체의 표면 온도가 100℃에서 400℃로 상승하였을 때 물체 표면에서 방출하는 복사에너지는 약 몇 배가 되겠는가? (단, 물체의 방사율은 일정하다고 가정한다.)",,2,4,10.6,256,3,21,Claude Sonnet 4,300,7,5,33.33,42.04,1.95,158,10,168,중간,0.000624,N/A,False,이 문제는 스테판,"문제: 물체의 표면 온도가 100℃에서 400℃로 상승하였을 때 물체 표면에서 방출하는 복사에너지는 약 몇 배가 되겠는가? (단, 물체의 방사율은 일정하다고 가정한다.)

선택지:
1. 2
2. 4
3. 10.6
4. 256

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
22,소방설비기사(기계분야),2019,1,소방원론,11,마그네슘의 화재에 주수하였을 때 물과 마그네슘의 반응으로 인하여 생성되는 가스는?,,산소,수소,일산화탄소,이산화탄소,2,22,Claude Sonnet 4,300,7,6,31.82,44.02,1.98,127,10,137,중간,0.000531,N/A,False,마그네슘과 물의,"문제: 마그네슘의 화재에 주수하였을 때 물과 마그네슘의 반응으로 인하여 생성되는 가스는?

선택지:
1. 산소
2. 수소
3. 일산화탄소
4. 이산화탄소

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
23,소방설비기사(기계분야),2010,4,소방유체역학,39,국소대기압의 98.6kPa인 곳에서 펌프에 의하여 흡입되는 물의 압력을 진공계로 측정하였다. 진공계가 7.3kPa을 가리켰을 때 절대 압력은 몇 kPa인가?,,0.93,9.3,91.3,105.9,3,23,Claude Sonnet 4,300,7,7,30.43,45.9,1.89,167,10,177,중간,0.000651,N/A,False,이 문제는 절대압,"문제: 국소대기압의 98.6kPa인 곳에서 펌프에 의하여 흡입되는 물의 압력을 진공계로 측정하였다. 진공계가 7.3kPa을 가리켰을 때 절대 압력은 몇 kPa인가?

선택지:
1. 0.93
2. 9.3
3. 91.3
4. 105.9

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
24,소방설비기사(기계분야),2012,4,소방원론,8,할로겐 화합물 소화설비에서 Halon 1211 약제의 분자식은?,,CF$_2$BrCl,CBr$_2$ClF,CCl$_2$BrF,BrC$_2$ClF,1,24,Claude Sonnet 4,300,7,8,29.17,47.71,1.81,127,10,137,중간,0.000531,N/A,False,Halon 1211의 명명,"문제: 할로겐 화합물 소화설비에서 Halon 1211 약제의 분자식은?

선택지:
1. CF$_2$BrCl
2. CBr$_2$ClF
3. CCl$_2$BrF
4. BrC$_2$ClF

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
25,소방설비기사(기계분야),2003,1,소방원론,3,중질유의 탱크에서 장시간 조용히 연소하다가 탱크내의 잔존 기름이 갑자기 분출하는 현상은?,,보일오버(Boil over),플래시오버(Flash over),스롭오버(Slop over),후로스오버(Froth over),1,25,Claude Sonnet 4,300,8,8,32.0,49.65,1.94,158,5,163,중간,0.000549,1,True,1,"문제: 중질유의 탱크에서 장시간 조용히 연소하다가 탱크내의 잔존 기름이 갑자기 분출하는 현상은?

선택지:
1. 보일오버(Boil over)
2. 플래시오버(Flash over)
3. 스롭오버(Slop over)
4. 후로스오버(Froth over)

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
26,소방설비기사(기계분야),2019,1,소방기계시설의 구조 및 원리,74,"수직강하식 구조대가 구조적으로 갖추어야 할 조건으로 옳지 않은 것은? (단, 건물내부의 별실에 설치하는 경우는 제외한다.)(2023년 08월 14일 개정된 규정 적용됨)",,구조대의 포지는 외부포지와 내부포지로 구성한다.,포지는 사용 시 충격을 흡수하도록 수직방향으로 현저하게 늘어나야 한다.,구조대는 연속하여 강하할 수 있는 구조이어야 한다.,입구틀 및 취부틀의 입구는 지름 60cm 이상의 구체가 통과할 수 있어야 한다.,2,26,Claude Sonnet 4,300,9,8,34.62,51.62,1.97,294,5,299,중간,0.000957,2,True,2,"문제: 수직강하식 구조대가 구조적으로 갖추어야 할 조건으로 옳지 않은 것은? (단, 건물내부의 별실에 설치하는 경우는 제외한다.)(2023년 08월 14일 개정된 규정 적용됨)

선택지:
1. 구조대의 포지는 외부포지와 내부포지로 구성한다.
2. 포지는 사용 시 충격을 흡수하도록 수직방향으로 현저하게 늘어나야 한다.
3. 구조대는 연속하여 강하할 수 있는 구조이어야 한다.
4. 입구틀 및 취부틀의 입구는 지름 60cm 이상의 구체가 통과할 수 있어야 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
27,소방설비기사(기계분야),2003,1,소방원론,5,철근콘크리트에서 철근의 허용응력을 위태롭게 하는 최저 온도는 약 몇 ℃ 정도인가?,,400,600,800,900,2,27,Claude Sonnet 4,300,9,8,33.33,53.56,1.94,119,5,124,중간,0.000432,3,False,3,"문제: 철근콘크리트에서 철근의 허용응력을 위태롭게 하는 최저 온도는 약 몇 ℃ 정도인가?

선택지:
1. 400
2. 600
3. 800
4. 900

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
28,소방설비기사(기계분야),2012,4,소방원론,17,연소시 백적색의 온도는 약 몇 ℃ 정도 되는가?,,400,650,750,1300,4,28,Claude Sonnet 4,300,10,8,35.71,55.45,1.89,99,5,104,중간,0.000372,4,True,4,"문제: 연소시 백적색의 온도는 약 몇 ℃ 정도 되는가?

선택지:
1. 400
2. 650
3. 750
4. 1300

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
29,소방설비기사(기계분야),2008,2,소방관계법규,60,다음 중 화재경계지구의 지정권자는?,,시·도지사,소방본부장,소방서장,경찰서장,1,29,Claude Sonnet 4,300,11,8,37.93,57.19,1.73,102,5,107,중간,0.000381,1,True,1,"문제: 다음 중 화재경계지구의 지정권자는?

선택지:
1. 시·도지사
2. 소방본부장
3. 소방서장
4. 경찰서장

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
30,소방설비기사(기계분야),2009,1,소방관계법규,55,다음 중 특수가연물에 해당되지 않는 것은?,,나무껍질 500킬로그램,가연성고체류 2000킬로그램,목재고공품 15세제곱미터,가연성액체류 3제곱미터,2,30,Claude Sonnet 4,300,11,9,36.67,59.01,1.83,139,10,149,중간,0.000567,N/A,False,이 문제는 소방법,"문제: 다음 중 특수가연물에 해당되지 않는 것은?

선택지:
1. 나무껍질 500킬로그램
2. 가연성고체류 2000킬로그램
3. 목재고공품 15세제곱미터
4. 가연성액체류 3제곱미터

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
31,소방설비기사(기계분야),2007,4,소방기계시설의 구조 및 원리,67,분말소화설비의 화재안전기준상 제 1종 분말을 사용한 전역 방출 방식의 분말 소화설비에 있어서 방호구역 1 m$^3$ 에 대한 소화약제의 양은?,,0.60 kg,0.36 kg,0.24 kg,0.72 kg,1,31,Claude Sonnet 4,300,11,9,35.48,60.91,1.9,163,5,168,중간,0.000564,3,False,3,"문제: 분말소화설비의 화재안전기준상 제 1종 분말을 사용한 전역 방출 방식의 분말 소화설비에 있어서 방호구역 1 m$^3$ 에 대한 소화약제의 양은?

선택지:
1. 0.60 kg
2. 0.36 kg
3. 0.24 kg
4. 0.72 kg

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
32,소방설비기사(기계분야),2020,4,소방기계시설의 구조 및 원리,63,피난기구의 화재안전기준에 따라 숙박시설·노유자시설 및 의료시설로 사용되는 층에 있어서는 그 층의 바닥면적이 몇 m$^2$ 마다 피난기구를 1개 이상 설치해야하는가?,,300,500,800,1000,2,32,Claude Sonnet 4,300,12,9,37.5,62.58,1.67,163,5,168,중간,0.000564,2,True,2,"문제: 피난기구의 화재안전기준에 따라 숙박시설·노유자시설 및 의료시설로 사용되는 층에 있어서는 그 층의 바닥면적이 몇 m$^2$ 마다 피난기구를 1개 이상 설치해야하는가?

선택지:
1. 300
2. 500
3. 800
4. 1000

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
33,소방설비기사(기계분야),2005,4,소방원론,12,가연물질이 열분해되어 생성된 가스 중 독성이 가장 큰 것은?,,일산화탄소,염화수소,이산화탄소,포스겐가스,4,33,Claude Sonnet 4,300,13,9,39.39,64.45,1.87,120,5,125,중간,0.000435,4,True,4,"문제: 가연물질이 열분해되어 생성된 가스 중 독성이 가장 큰 것은?

선택지:
1. 일산화탄소
2. 염화수소
3. 이산화탄소
4. 포스겐가스

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
34,소방설비기사(기계분야),2004,2,소방관계법규,40,표면적이 같은 1000 K의 물체와 2000 K의 물체에서 복사되는 에너지 크기의 비는?,,1:04,1:08,1:16,1:32,3,34,Claude Sonnet 4,300,13,10,38.24,66.3,1.85,121,10,131,중간,0.000513,N/A,False,이 문제는 스테판,"문제: 표면적이 같은 1000 K의 물체와 2000 K의 물체에서 복사되는 에너지 크기의 비는?

선택지:
1. 1:04
2. 1:08
3. 1:16
4. 1:32

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
35,소방설비기사(기계분야),2009,4,소방원론,16,가연성가스이면서도 독성가스인 것은?,,질소,수소,메탄,황화수소,4,35,Claude Sonnet 4,300,14,10,40.0,68.01,1.71,94,5,99,중간,0.000357,4,True,4,"문제: 가연성가스이면서도 독성가스인 것은?

선택지:
1. 질소
2. 수소
3. 메탄
4. 황화수소

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
36,소방설비기사(기계분야),2009,4,소방기계시설의 구조 및 원리,66,"분말소화설비의 가압식저장용기에 설치하는 안전밸브의 작동압력은 몇 MPa 이하인가? (단, 내압시험압력은 25.0 MPa, 최고사용압력은 5.0MPa로 한다.)",,4,9,13.9,20,2,36,Claude Sonnet 4,300,14,11,38.89,70.37,2.36,154,10,164,중간,0.000612,N/A,False,분말소화설비의 가,"문제: 분말소화설비의 가압식저장용기에 설치하는 안전밸브의 작동압력은 몇 MPa 이하인가? (단, 내압시험압력은 25.0 MPa, 최고사용압력은 5.0MPa로 한다.)

선택지:
1. 4
2. 9
3. 13.9
4. 20

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
37,소방설비기사(기계분야),2004,4,소방기계시설의 구조 및 원리,75,제연구역에 대한 설명 중 잘못된 것은?,,하나의 제연구역 면적은 1000m$^2$이내로 하여야 한다.,거실과 통로는 상호 제연구획하여야 한다.,"제연구역의 구획은 보, 제연경계벽 및 벽으로 하여야 한다.",통로상의 제연구역은 보행 중심선의 길이가 최대 70m 이내이어야 한다.,4,37,Claude Sonnet 4,300,15,11,40.54,72.34,1.97,211,5,216,중간,0.000708,4,True,4,"문제: 제연구역에 대한 설명 중 잘못된 것은?

선택지:
1. 하나의 제연구역 면적은 1000m$^2$이내로 하여야 한다.
2. 거실과 통로는 상호 제연구획하여야 한다.
3. 제연구역의 구획은 보, 제연경계벽 및 벽으로 하여야 한다.
4. 통로상의 제연구역은 보행 중심선의 길이가 최대 70m 이내이어야 한다.

정답 번호만 출력하세요 (1, 2, 3, 4 중 하나):",text only
